Country,Year,Product,Value,total emissions CO2 (KgCo2),Energy Type,consumption (GWh),iso_alpha
Denmark,2023,Solar,22.8649,1097.5152,Solar,9032.389000000001,DNK
Denmark,2023,Wind,2312.7377,26596.48355,Wind,50381.268,DNK
Estonia,2023,Hydro,3.0052,72.12480000000001,Hydro,69.00278,EST
Estonia,2023,Coal-Peat and Manufactured Gases,323.5035,265272.87,Coal-Peat and Manufactured Gases,27524.136,EST
Estonia,2023,Oil and Petroleum Products,1.8878,1359.216,Oil and Petroleum Products,15673.047999999999,EST
Estonia,2023,Natural Gas,3.0599,1499.351,Natural Gas,3698.8437,EST
Estonia,2023,Combustible Renewables,86.1056,19804.288,,,
Estonia,2023,Other Combustible Non-Renewables,5.2207,4280.974,,,
Estonia,2023,Solar,3.9598,190.0704,Solar,1901.2327,EST
Estonia,2023,Wind,53.6965,617.50975,Wind,1807.4071000000001,EST
Finland,2023,Nuclear,3205.9094,38470.9128,Nuclear,85363.815,FIN
Finland,2023,Hydro,1320.2926,31687.022399999998,Hydro,39413.803,FIN
Finland,2023,Coal-Peat and Manufactured Gases,437.4991,358749.262,Coal-Peat and Manufactured Gases,24578.888,FIN
Finland,2023,Oil and Petroleum Products,40.2118,28952.495999999996,Oil and Petroleum Products,90904.52,FIN
Finland,2023,Natural Gas,110.4965,54143.285,Natural Gas,11944.166,FIN
Finland,2023,Combustible Renewables,1244.9394,286336.062,,,
Finland,2023,Other Combustible Non-Renewables,45.0566,36946.412,,,
Finland,2023,Solar,2.0595,98.856,Solar,1728.0446,FIN
Finland,2023,Not Specified,21.25,,,,
Finland,2023,Wind,1249.7026,14371.5799,Wind,39059.17,FIN
France,2023,Nuclear,31574.2306,378890.7672,Nuclear,843038.8,FRA
France,2023,Hydro,7543.5574,181045.3776,Hydro,144228.49,FRA
France,2023,Coal-Peat and Manufactured Gases,202.3494,165926.508,Coal-Peat and Manufactured Gases,49382.54,FRA
France,2023,Oil and Petroleum Products,480.9885,346311.72,Oil and Petroleum Products,767882.1000000001,FRA
France,2023,Natural Gas,3321.7312,1627648.288,Natural Gas,338641.63,FRA
France,2023,Combustible Renewables,918.7989,211323.747,,,
France,2023,Other Combustible Non-Renewables,177.2487,145343.934,,,
France,2023,Geothermal,8.5282,324.0716,,,
France,2023,Solar,770.9985,37007.928,Solar,57791.82,FRA
France,2023,Other Renewables,40.3725,968.94,Other Renewables,30977.734,FRA
France,2023,Not Specified,43.5589,,,,
France,2023,Wind,6587.4311,75755.45765,Wind,135887.12000000002,FRA
Germany,2023,Hydro,2709.9302,65038.324799999995,Hydro,51015.479999999996,DEU
Germany,2023,Coal-Peat and Manufactured Gases,11267.84,9239628.8,Coal-Peat and Manufactured Gases,507222.2,DEU
Germany,2023,Oil and Petroleum Products,360.3077,259421.544,Oil and Petroleum Products,1114515.7,DEU
Germany,2023,Natural Gas,7413.9966,3632858.334,Natural Gas,756638.1,DEU
Germany,2023,Combustible Renewables,3946.0173,907583.979,,,
Germany,2023,Other Combustible Non-Renewables,425.5218,348927.876,,,
Germany,2023,Geothermal,16.1106,612.2028,,,
Germany,2023,Solar,859.272,41245.056,Solar,159018.46,DEU
Germany,2023,Not Specified,173.1867,,,,
Germany,2023,Wind,18714.5874,215217.75509999998,Wind,369135.53,DEU
Greece,2023,Hydro,483.0471,11593.1304,Hydro,10253.274,GRC
Greece,2023,Coal-Peat and Manufactured Gases,485.9463,398475.966,Coal-Peat and Manufactured Gases,13223.168,GRC
Greece,2023,Oil and Petroleum Products,294.7195,212198.04,Oil and Petroleum Products,172079.90000000002,GRC
Greece,2023,Natural Gas,1216.9928,596326.472,Natural Gas,53822.0,GRC
Greece,2023,Combustible Renewables,60.0255,13805.865,,,
Greece,2023,Other Combustible Non-Renewables,4.4341,3635.962,,,
Greece,2023,Solar,482.6322,23166.3456,Solar,22078.852000000003,GRC
Greece,2023,Wind,1045.0622,12018.2153,Wind,28609.932,GRC
Hungary,2023,Nuclear,1126.4835,13517.802,Nuclear,39678.46,HUN
Hungary,2023,Hydro,8.2237,197.3688,Hydro,576.45494,HUN
Hungary,2023,Coal-Peat and Manufactured Gases,222.0091,182047.462,Coal-Peat and Manufactured Gases,10096.608,HUN
Hungary,2023,Oil and Petroleum Products,6.6924,4818.528,Oil and Petroleum Products,93541.98,HUN
Hungary,2023,Natural Gas,654.3367,320624.983,Natural Gas,81848.335,HUN
Hungary,2023,Combustible Renewables,114.7115,26383.645,,,
Hungary,2023,Other Combustible Non-Renewables,21.327,17488.14,,,
Hungary,2023,Geothermal,0.7812,29.685599999999997,,,
Hungary,2023,Solar,218.7044,10497.8112,Solar,16979.935,HUN
Hungary,2023,Not Specified,5.78,,,,
Hungary,2023,Wind,57.067,656.2705,Wind,1673.7595000000001,HUN
Iceland,2023,Hydro,1157.4818,27779.5632,Hydro,36940.968,ISL
Iceland,2023,Oil and Petroleum Products,0.1186,85.392,Oil and Petroleum Products,9735.639000000001,ISL
Iceland,2023,Geothermal,495.8753,18843.2614,,,
Iceland,2023,Wind,1.194,13.731,Wind,18.774777999999998,ISL
Ireland,2023,Hydro,145.7464,3497.9135999999994,Hydro,2425.5102,IRL
Ireland,2023,Coal-Peat and Manufactured Gases,110.8179,90870.678,Coal-Peat and Manufactured Gases,7549.0894,IRL
Ireland,2023,Oil and Petroleum Products,7.343,5286.96,Oil and Petroleum Products,84667.24,IRL
Ireland,2023,Natural Gas,931.0247,456202.103,Natural Gas,48234.352,IRL
Ireland,2023,Combustible Renewables,83.659,19241.57,,,
Ireland,2023,Other Combustible Non-Renewables,19.5776,16053.632,,,
Ireland,2023,Solar,2.3504,112.8192,Solar,1078.4339,IRL
Ireland,2023,Wind,1535.3136,17656.106399999997,Wind,30103.886,IRL
Italy,2023,Hydro,3398.5472,81565.13279999999,Hydro,101109.9,ITA
Italy,2023,Coal-Peat and Manufactured Gases,1566.3585,1284413.97,Coal-Peat and Manufactured Gases,60217.636,ITA
Italy,2023,Oil and Petroleum Products,832.6325,599495.4,Oil and Petroleum Products,686873.96,ITA
Italy,2023,Natural Gas,9156.6273,4486747.377,Natural Gas,585976.4,ITA
Italy,2023,Combustible Renewables,1119.5126,257487.898,,,
Italy,2023,Geothermal,458.4496,17421.0848,,,
Italy,2023,Other Combustible Non-Renewables,155.1035,127184.87,,,
Italy,2023,Solar,1203.3055,57758.664,Solar,81118.21999999999,ITA
Italy,2023,Not Specified,52.0293,,,,
Italy,2023,Wind,2434.5615,27997.457249999996,Wind,61123.966,ITA
Japan,2023,Nuclear,6237.3447,74848.13639999999,Nuclear,193086.49,JPN
Japan,2023,Hydro,5545.0165,133080.396,Hydro,193524.08,JPN
Japan,2023,Coal-Peat and Manufactured Gases,28064.1614,23012612.348,Coal-Peat and Manufactured Gases,1260110.5,JPN
Japan,2023,Oil and Petroleum Products,2299.3197,1655510.184,Oil and Petroleum Products,1848599.4000000001,JPN
Japan,2023,Natural Gas,28887.6558,14154951.342,Natural Gas,924207.9,JPN
Japan,2023,Combustible Renewables,3664.7792,842899.216,,,
Japan,2023,Geothermal,288.9582,10980.4116,,,
Japan,2023,Other Combustible Non-Renewables,2107.4427,1728103.014,,,
Japan,2023,Solar,5874.5002,281976.00960000005,Solar,251956.68,JPN
Japan,2023,Not Specified,1345.723,,,,
Japan,2023,Wind,1187.3618,13654.660699999999,Wind,25999.97,JPN
Korea,2023,Nuclear,15572.1827,186866.1924,Nuclear,449918.7,KOR
Korea,2023,Hydro,569.9188,13678.051200000002,Hydro,9654.01,KOR
Korea,2023,Coal-Peat and Manufactured Gases,17576.8322,14413002.404,Coal-Peat and Manufactured Gases,748348.63,KOR
Korea,2023,Oil and Petroleum Products,327.013,235449.35999999996,Oil and Petroleum Products,1489859.0999999999,KOR
Korea,2023,Natural Gas,13248.2739,6491654.211,Natural Gas,600747.1000000001,KOR
Korea,2023,Combustible Renewables,1078.3084,248010.93199999997,,,
Korea,2023,Other Combustible Non-Renewables,128.1243,105061.926,,,
Korea,2023,Solar,1538.6871,73856.9808,Solar,76289.62,KOR
Korea,2023,Other Renewables,48.6874,1168.4976,Other Renewables,61439.083,KOR
Korea,2023,Not Specified,375.9844,,,,
Korea,2023,Wind,403.394,4639.031,Wind,8805.545,KOR
Latvia,2023,Hydro,341.5887,8198.1288,Hydro,9870.765000000001,LVA
Latvia,2023,Natural Gas,168.3073,82470.577,Natural Gas,7671.125,LVA
Latvia,2023,Combustible Renewables,49.6188,11412.324,,,
Latvia,2023,Solar,0.3423,16.430400000000002,Solar,122.09,LVA
Latvia,2023,Wind,23.7933,273.62295,Wind,694.2436,LVA
Lithuania,2023,Hydro,88.1078,2114.5872,Hydro,1169.6825,LTU
Lithuania,2023,Oil and Petroleum Products,10.3934,7483.248,Oil and Petroleum Products,37773.342,LTU
Lithuania,2023,Natural Gas,83.693,41009.57,Natural Gas,15655.23,LTU
