Country,Year,Energy Type,consumption (GWh)
Algeria,1981,Solar,
Algeria,1981,Nuclear,0.0
Algeria,1981,Biofuels,
Algeria,1981,Other Renewables,
Algeria,1981,Coal-Peat and Manufactured Gases,523.35
Algeria,1981,Oil and Petroleum Products,71323.07400000001
Algeria,1981,Natural Gas,142257.49
Algeria,1982,Wind,
Algeria,1982,Hydro,1416.3978
Algeria,1982,Solar,
Algeria,1982,Nuclear,0.0
Algeria,1982,Biofuels,
Algeria,1982,Other Renewables,
Algeria,1982,Coal-Peat and Manufactured Gases,9711.048999999999
Algeria,1982,Oil and Petroleum Products,75573.42
Algeria,1982,Natural Gas,161411.24
Algeria,1983,Wind,
Algeria,1983,Hydro,694.89247
Algeria,1983,Solar,
Algeria,1983,Nuclear,0.0
Algeria,1983,Biofuels,
Algeria,1983,Other Renewables,
Algeria,1983,Coal-Peat and Manufactured Gases,8664.35
Algeria,1983,Oil and Petroleum Products,84892.42
Algeria,1983,Natural Gas,176715.0
Algeria,1984,Wind,
Algeria,1984,Hydro,1336.559
Algeria,1984,Solar,
Algeria,1984,Nuclear,0.0
Algeria,1984,Biofuels,
Algeria,1984,Other Renewables,
Algeria,1984,Coal-Peat and Manufactured Gases,9606.38
Algeria,1984,Oil and Petroleum Products,94002.01
Algeria,1984,Natural Gas,155251.25
Algeria,1985,Wind,
Algeria,1985,Hydro,1910.215
Algeria,1985,Solar,
Algeria,1985,Nuclear,0.0
Algeria,1985,Biofuels,
Algeria,1985,Other Renewables,
Algeria,1985,Coal-Peat and Manufactured Gases,10025.061000000002
Algeria,1985,Oil and Petroleum Products,96553.79999999999
Algeria,1985,Natural Gas,153807.5
Algeria,1986,Wind,
Algeria,1986,Hydro,739.24726
Algeria,1986,Solar,
Algeria,1986,Nuclear,0.0
Algeria,1986,Biofuels,
Algeria,1986,Other Renewables,
Algeria,1986,Coal-Peat and Manufactured Gases,10292.548999999999
Algeria,1986,Oil and Petroleum Products,98021.25
Algeria,1986,Natural Gas,168437.47999999998
Algeria,1987,Wind,
Algeria,1987,Hydro,1475.5377999999998
Algeria,1987,Solar,
Algeria,1987,Nuclear,0.0
Algeria,1987,Biofuels,
Algeria,1987,Other Renewables,
Algeria,1987,Coal-Peat and Manufactured Gases,12304.539999999999
Algeria,1987,Oil and Petroleum Products,99100.52
Algeria,1987,Natural Gas,172287.5
Algeria,1988,Wind,
Algeria,1988,Hydro,541.1292
Algeria,1988,Solar,
Algeria,1988,Nuclear,0.0
Algeria,1988,Biofuels,
Algeria,1988,Other Renewables,
Algeria,1988,Coal-Peat and Manufactured Gases,11571.849
Algeria,1988,Oil and Petroleum Products,99172.6
Algeria,1988,Natural Gas,194136.25
Algeria,1989,Wind,
Algeria,1989,Hydro,668.2794
Algeria,1989,Solar,
Algeria,1989,Nuclear,0.0
Algeria,1989,Biofuels,
Algeria,1989,Other Renewables,
Algeria,1989,Coal-Peat and Manufactured Gases,9780.83
Algeria,1989,Oil and Petroleum Products,103936.65
Algeria,1989,Natural Gas,182682.51
Algeria,1990,Wind,0.0
Algeria,1990,Hydro,399.19358
Algeria,1990,Solar,0.0
Algeria,1990,Nuclear,0.0
Algeria,1990,Biofuels,
Algeria,1990,Other Renewables,0.0
Algeria,1990,Coal-Peat and Manufactured Gases,7664.17
Algeria,1990,Oil and Petroleum Products,111811.615
Algeria,1990,Natural Gas,195098.74
Algeria,1991,Wind,0.0
Algeria,1991,Hydro,866.39774
Algeria,1991,Solar,0.0
Algeria,1991,Nuclear,0.0
Algeria,1991,Biofuels,
Algeria,1991,Other Renewables,0.0
Algeria,1991,Coal-Peat and Manufactured Gases,7908.400000000001
Algeria,1991,Oil and Petroleum Products,110627.785
Algeria,1991,Natural Gas,192692.49
Algeria,1992,Wind,0.0
Algeria,1992,Hydro,588.44084
Algeria,1992,Solar,0.0
Algeria,1992,Nuclear,0.0
Algeria,1992,Biofuels,
Algeria,1992,Other Renewables,0.0
Algeria,1992,Coal-Peat and Manufactured Gases,9397.038999999999
Algeria,1992,Oil and Petroleum Products,111292.65599999999
Algeria,1992,Natural Gas,198948.75
Algeria,1993,Wind,0.0
Algeria,1993,Hydro,1043.8172
Algeria,1993,Solar,0.0
Algeria,1993,Nuclear,0.0
Algeria,1993,Biofuels,
Algeria,1993,Other Renewables,0.0
Algeria,1993,Coal-Peat and Manufactured Gases,7652.5397
Algeria,1993,Oil and Petroleum Products,110754.875
Algeria,1993,Natural Gas,178543.73
Algeria,1994,Wind,0.0
Algeria,1994,Hydro,490.86028
Algeria,1994,Solar,0.0
Algeria,1994,Nuclear,0.0
Algeria,1994,Biofuels,
Algeria,1994,Other Renewables,0.0
Algeria,1994,Coal-Peat and Manufactured Gases,7210.6
Algeria,1994,Oil and Petroleum Products,106050.89
Algeria,1994,Natural Gas,188168.75
Algeria,1995,Wind,0.0
Algeria,1995,Hydro,570.6988600000001
Algeria,1995,Solar,0.0
Algeria,1995,Nuclear,0.0
Algeria,1995,Biofuels,
Algeria,1995,Other Renewables,0.0
Algeria,1995,Coal-Peat and Manufactured Gases,7210.6
Algeria,1995,Oil and Petroleum Products,103142.28
Algeria,1995,Natural Gas,202221.25
Algeria,1996,Wind,0.0
Algeria,1996,Hydro,399.19358
Algeria,1996,Solar,0.0
Algeria,1996,Nuclear,0.0
Algeria,1996,Biofuels,
Algeria,1996,Other Renewables,0.0
Algeria,1996,Coal-Peat and Manufactured Gases,3395.9599
Algeria,1996,Oil and Petroleum Products,98422.07
Algeria,1996,Natural Gas,207707.49000000002
Algeria,1997,Wind,0.0
Algeria,1997,Hydro,221.77416
Algeria,1997,Solar,0.0
Algeria,1997,Nuclear,0.0
Algeria,1997,Biofuels,
Algeria,1997,Other Renewables,0.0
Algeria,1997,Coal-Peat and Manufactured Gases,5954.5599999999995
Algeria,1997,Oil and Petroleum Products,97643.42000000001
Algeria,1997,Natural Gas,194040.01
Algeria,1998,Wind,0.0
Algeria,1998,Hydro,635.7528
Algeria,1998,Solar,0.0
Algeria,1998,Nuclear,0.0
Algeria,1998,Biofuels,
Algeria,1998,Other Renewables,0.0
Algeria,1998,Coal-Peat and Manufactured Gases,6373.24
Algeria,1998,Oil and Petroleum Products,100658.75
Algeria,1998,Natural Gas,200681.24
Algeria,1999,Wind,0.0
Algeria,1999,Hydro,600.2689
Algeria,1999,Solar,0.0
Algeria,1999,Nuclear,0.0
Algeria,1999,Biofuels,
Algeria,1999,Other Renewables,0.0
Algeria,1999,Coal-Peat and Manufactured Gases,6826.81
Algeria,1999,Oil and Petroleum Products,98898.346
Algeria,1999,Natural Gas,205108.75
Algeria,2000,Wind,0.0
Algeria,2000,Hydro,159.6775
Algeria,2000,Solar,0.0
Algeria,2000,Nuclear,0.0
Algeria,2000,Biofuels,
Algeria,2000,Other Renewables,0.0
Algeria,2000,Coal-Peat and Manufactured Gases,5640.5497000000005
Algeria,2000,Oil and Petroleum Products,103132.48
Algeria,2000,Natural Gas,191012.92
Algeria,2001,Wind,0.0
Algeria,2001,Hydro,202.7075
Algeria,2001,Solar,0.0
Algeria,2001,Nuclear,0.0
Algeria,2001,Biofuels,
Algeria,2001,Other Renewables,0.0
Algeria,2001,Coal-Peat and Manufactured Gases,6512.7997000000005
Algeria,2001,Oil and Petroleum Products,106775.33
Algeria,2001,Natural Gas,197322.11000000002
Algeria,2002,Wind,0.0
Algeria,2002,Hydro,166.37361
Algeria,2002,Solar,0.0
Algeria,2002,Nuclear,0.0
Algeria,2002,Biofuels,
Algeria,2002,Other Renewables,0.0
Algeria,2002,Coal-Peat and Manufactured Gases,8548.05
Algeria,2002,Oil and Petroleum Products,118397.22399999999
Algeria,2002,Natural Gas,194838.87
Algeria,2003,Wind,0.0
Algeria,2003,Hydro,768.53275
Algeria,2003,Solar,0.0
Algeria,2003,Nuclear,0.0
Algeria,2003,Biofuels,
Algeria,2003,Other Renewables,0.0
Algeria,2003,Coal-Peat and Manufactured Gases,7047.7796
Algeria,2003,Oil and Petroleum Products,123174.11
Algeria,2003,Natural Gas,205931.66999999998
Algeria,2004,Wind,0.0
Algeria,2004,Hydro,723.29473
Algeria,2004,Solar,0.0
Algeria,2004,Nuclear,0.0
Algeria,2004,Biofuels,
Algeria,2004,Other Renewables,0.0
Algeria,2004,Coal-Peat and Manufactured Gases,8408.489
Algeria,2004,Oil and Petroleum Products,128746.82999999999
Algeria,2004,Natural Gas,211899.16999999998
Algeria,2005,Wind,0.0
Algeria,2005,Hydro,1590.0536
Algeria,2005,Solar,0.0
Algeria,2005,Nuclear,0.0
Algeria,2005,Biofuels,
Algeria,2005,Other Renewables,0.0
Algeria,2005,Coal-Peat and Manufactured Gases,6908.2203
Algeria,2005,Oil and Petroleum Products,134213.38
Algeria,2005,Natural Gas,223559.86
Algeria,2006,Wind,0.0
Algeria,2006,Hydro,619.1600000000001
Algeria,2006,Solar,0.0
Algeria,2006,Nuclear,0.0
Algeria,2006,Biofuels,
Algeria,2006,Other Renewables,0.0
Algeria,2006,Coal-Peat and Manufactured Gases,10257.66
Algeria,2006,Oil and Petroleum Products,139845.72
Algeria,2006,Natural Gas,228497.5
Algeria,2007,Wind,0.0
Algeria,2007,Hydro,639.0422599999999
Algeria,2007,Solar,0.0
Algeria,2007,Nuclear,0.0
Algeria,2007,Biofuels,
Algeria,2007,Other Renewables,0.0
Algeria,2007,Coal-Peat and Manufactured Gases,8803.91
Algeria,2007,Oil and Petroleum Products,156390.0
Algeria,2007,Natural Gas,233806.81000000003
Algeria,2008,Wind,0.0
Algeria,2008,Hydro,795.2463600000001
Algeria,2008,Solar,0.0
Algeria,2008,Nuclear,0.0
Algeria,2008,Biofuels,
Algeria,2008,Other Renewables,0.0
Algeria,2008,Coal-Peat and Manufactured Gases,8803.91
Algeria,2008,Oil and Petroleum Products,169915.9
Algeria,2008,Natural Gas,244041.87
Algeria,2009,Wind,0.0
Algeria,2009,Hydro,955.1075
Algeria,2009,Solar,0.0
Algeria,2009,Nuclear,0.0
Algeria,2009,Biofuels,
Algeria,2009,Other Renewables,0.0
Algeria,2009,Coal-Peat and Manufactured Gases,5652.18
Algeria,2009,Oil and Petroleum Products,180134.41
Algeria,2009,Natural Gas,262117.59999999998
Algeria,2010,Wind,0.0
Algeria,2010,Hydro,480.17526
Algeria,2010,Solar,25.257776999999997
Algeria,2010,Nuclear,0.0
Algeria,2010,Biofuels,
Algeria,2010,Other Renewables,0.0
Algeria,2010,Coal-Peat and Manufactured Gases,3605.3
Algeria,2010,Oil and Petroleum Products,181611.91
Algeria,2010,Natural Gas,253272.25
Algeria,2011,Wind,0.0
Algeria,2011,Hydro,1042.7713
Algeria,2011,Solar,49.983334
Algeria,2011,Nuclear,0.0
Algeria,2011,Biofuels,
Algeria,2011,Other Renewables,0.0
Algeria,2011,Coal-Peat and Manufactured Gases,3198.2498
Algeria,2011,Oil and Petroleum Products,192227.65000000002
Algeria,2011,Natural Gas,267969.60000000003
Algeria,2012,Wind,0.0
Algeria,2012,Hydro,1066.6127000000001
Algeria,2012,Solar,73.27278
Algeria,2012,Nuclear,0.0
Algeria,2012,Biofuels,
Algeria,2012,Other Renewables,0.0
Algeria,2012,Coal-Peat and Manufactured Gases,3395.9599
Algeria,2012,Oil and Petroleum Products,204395.26
Algeria,2012,Natural Gas,298740.75
Algeria,2013,Wind,0.0
Algeria,2013,Hydro,269.81637
Algeria,2013,Solar,77.946946
Algeria,2013,Nuclear,0.0
Algeria,2013,Biofuels,
Algeria,2013,Other Renewables,0.0
Algeria,2013,Coal-Peat and Manufactured Gases,1837.54
Algeria,2013,Oil and Petroleum Products,213576.39
Algeria,2013,Natural Gas,321215.12
Algeria,2014,Wind,2.7090972
Algeria,2014,Hydro,522.8557999999999
Algeria,2014,Solar,162.54583
Algeria,2014,Nuclear,0.0
Algeria,2014,Biofuels,
Algeria,2014,Other Renewables,0.0
Algeria,2014,Coal-Peat and Manufactured Gases,2081.77
Algeria,2014,Oil and Petroleum Products,221925.13999999998
Algeria,2014,Natural Gas,360918.24000000005
Algeria,2015,Wind,51.16639
Algeria,2015,Hydro,390.4811
