Country,Balance,Product,Value,Unit,Year
Colombia,Net Electricity Production,Electricity,7761.7833,GWh,2024
Colombia,Net Electricity Production,Hydro,4216.8051,GWh,2024
Colombia,Net Electricity Production,Total Combustible Fuels,3141.9067,GWh,2024
Colombia,Net Electricity Production,Coal-Peat and Manufactured Gases,956.1894,GWh,2024
Colombia,Net Electricity Production,Oil and Petroleum Products,271.3974,GWh,2024
Colombia,Net Electricity Production,Natural Gas,1724.9407,GWh,2024
Colombia,Net Electricity Production,Combustible Renewables,189.3792,GWh,2024
Colombia,Net Electricity Production,Solar,403.0716,GWh,2024
Colombia,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',4809.2558,GWh,2024
Colombia,Total Imports,Electricity,13.2626,GWh,2024
Colombia,Total Exports,Electricity,38.7749,GWh,2024
Colombia,Distribution Losses,Electricity,610.8546,GWh,2024
Colombia,Final Consumption (Calculated),Electricity,7125.4164,GWh,2024
Costa Rica,Remarks,Data is estimated for this month,,GWh,2024
Costa Rica,Net Electricity Production,Electricity,1054.204,GWh,2024
Costa Rica,Net Electricity Production,Total Combustible Fuels,0.2479,GWh,2024
Costa Rica,Net Electricity Production,Hydro,895.2564,GWh,2024
Costa Rica,Net Electricity Production,Oil and Petroleum Products,0.1398,GWh,2024
Costa Rica,Net Electricity Production,Combustible Renewables,0.1081,GWh,2024
Costa Rica,Net Electricity Production,Geothermal,98.7897,GWh,2024
Costa Rica,Net Electricity Production,Solar,6.3612,GWh,2024
Costa Rica,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',1054.0643,GWh,2024
Costa Rica,Total Imports,Electricity,4.5195,GWh,2024
Costa Rica,Total Exports,Electricity,64.4989,GWh,2024
Costa Rica,Distribution Losses,Electricity,96.4144,GWh,2024
Costa Rica,Final Consumption (Calculated),Electricity,897.8103,GWh,2024
Costa Rica,Net Electricity Production,Wind,53.5489,GWh,2024
Czech Republic,Net Electricity Production,Electricity,6318.3954,GWh,2024
Czech Republic,Net Electricity Production,Nuclear,2119.8403,GWh,2024
Czech Republic,Net Electricity Production,Hydro,239.802,GWh,2024
Czech Republic,Net Electricity Production,Total Combustible Fuels,3742.4796,GWh,2024
Czech Republic,Net Electricity Production,Coal-Peat and Manufactured Gases,2782.4474,GWh,2024
Czech Republic,Net Electricity Production,Oil and Petroleum Products,7.0762,GWh,2024
Czech Republic,Net Electricity Production,Natural Gas,538.0429,GWh,2024
Czech Republic,Net Electricity Production,Combustible Renewables,410.0008,GWh,2024
Czech Republic,Net Electricity Production,Other Combustible Non-Renewables,4.9123,GWh,2024
Czech Republic,Net Electricity Production,Solar,139.9152,GWh,2024
Czech Republic,Net Electricity Production,Not Specified,9.6782,GWh,2024
Czech Republic,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',856.3981,GWh,2024
Czech Republic,Total Imports,Electricity,1588.948,GWh,2024
Czech Republic,Total Exports,Electricity,2278.8121,GWh,2024
Czech Republic,Used for pumped storage,Electricity,67.4602,GWh,2024
Czech Republic,Distribution Losses,Electricity,302.654,GWh,2024
Czech Republic,Final Consumption (Calculated),Electricity,5258.4171,GWh,2024
Czech Republic,Net Electricity Production,Wind,66.6802,GWh,2024
Denmark,Net Electricity Production,Electricity,2900.6009,GWh,2024
Denmark,Net Electricity Production,Total Combustible Fuels,1168.5011,GWh,2024
Denmark,Net Electricity Production,Coal-Peat and Manufactured Gases,291.6471,GWh,2024
Denmark,Net Electricity Production,Oil and Petroleum Products,13.2194,GWh,2024
Denmark,Net Electricity Production,Natural Gas,101.4536,GWh,2024
Denmark,Net Electricity Production,Combustible Renewables,702.6334,GWh,2024
Denmark,Net Electricity Production,Other Combustible Non-Renewables,59.5476,GWh,2024
Denmark,Net Electricity Production,Solar,73.3317,GWh,2024
Denmark,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',2434.7332,GWh,2024
Denmark,Total Imports,Electricity,2225.439,GWh,2024
Denmark,Total Exports,Electricity,1730.956,GWh,2024
Denmark,Distribution Losses,Electricity,183.6783,GWh,2024
Denmark,Final Consumption (Calculated),Electricity,3211.4057,GWh,2024
Denmark,Net Electricity Production,Wind,1658.7681,GWh,2024
Estonia,Net Electricity Production,Electricity,374.1281,GWh,2024
Estonia,Net Electricity Production,Hydro,3.2056,GWh,2024
Estonia,Net Electricity Production,Total Combustible Fuels,235.3278,GWh,2024
Estonia,Net Electricity Production,Coal-Peat and Manufactured Gases,181.3565,GWh,2024
Estonia,Net Electricity Production,Oil and Petroleum Products,1.0583,GWh,2024
Estonia,Net Electricity Production,Natural Gas,1.7154,GWh,2024
Estonia,Net Electricity Production,Combustible Renewables,48.2709,GWh,2024
Estonia,Net Electricity Production,Other Combustible Non-Renewables,2.9267,GWh,2024
Estonia,Net Electricity Production,Solar,7.2642,GWh,2024
Estonia,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',187.0712,GWh,2024
Estonia,Total Imports,Electricity,686.0,GWh,2024
Estonia,Total Exports,Electricity,391.0,GWh,2024
Estonia,Distribution Losses,Electricity,96.2732,GWh,2024
Estonia,Final Consumption (Calculated),Electricity,572.8549,GWh,2024
Estonia,Net Electricity Production,Wind,128.3305,GWh,2024
Finland,Net Electricity Production,Electricity,7262.6914,GWh,2024
Finland,Net Electricity Production,Nuclear,2745.4916,GWh,2024
Finland,Net Electricity Production,Hydro,1014.6878,GWh,2024
Finland,Net Electricity Production,Total Combustible Fuels,1155.5463,GWh,2024
Finland,Net Electricity Production,Coal-Peat and Manufactured Gases,232.2912,GWh,2024
Finland,Net Electricity Production,Oil and Petroleum Products,29.3855,GWh,2024
Finland,Net Electricity Production,Natural Gas,54.3983,GWh,2024
Finland,Net Electricity Production,Combustible Renewables,799.8214,GWh,2024
Finland,Net Electricity Production,Other Combustible Non-Renewables,39.6498,GWh,2024
Finland,Net Electricity Production,Solar,10.2977,GWh,2024
Finland,Net Electricity Production,Not Specified,21.25,GWh,2024
Finland,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',4140.225,GWh,2024
Finland,Total Imports,Electricity,680.339,GWh,2024
Finland,Total Exports,Electricity,756.3898,GWh,2024
Finland,Distribution Losses,Electricity,245.227,GWh,2024
Finland,Final Consumption (Calculated),Electricity,6941.4136,GWh,2024
Finland,Net Electricity Production,Wind,2315.4181,GWh,2024
France,Net Electricity Production,Electricity,47225.2624,GWh,2024
France,Net Electricity Production,Nuclear,33068.6501,GWh,2024
France,Net Electricity Production,Total Combustible Fuels,3429.3092,GWh,2024
France,Net Electricity Production,Hydro,5365.5297,GWh,2024
France,Net Electricity Production,Natural Gas,2730.9674,GWh,2024
France,Net Electricity Production,Combustible Renewables,521.0932,GWh,2024
France,Net Electricity Production,Other Combustible Non-Renewables,177.2487,GWh,2024
France,Net Electricity Production,Geothermal,8.5285,GWh,2024
France,Net Electricity Production,Solar,1195.2166,GWh,2024
France,Net Electricity Production,Other Renewables,40.3725,GWh,2024
France,Net Electricity Production,Not Specified,43.5589,GWh,2024
France,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',11204.8373,GWh,2024
France,Total Imports,Electricity,840.801,GWh,2024
France,Total Exports,Electricity,8405.9576,GWh,2024
France,Used for pumped storage,Electricity,584.5936,GWh,2024
France,Distribution Losses,Electricity,3527.3833,GWh,2024
France,Final Consumption (Calculated),Electricity,35548.1289,GWh,2024
France,Net Electricity Production,Wind,4074.0969,GWh,2024
Germany,Net Electricity Production,Electricity,41364.7499,GWh,2024
Germany,Net Electricity Production,Hydro,1877.6267,GWh,2024
Germany,Net Electricity Production,Total Combustible Fuels,25518.3416,GWh,2024
Germany,Net Electricity Production,Coal-Peat and Manufactured Gases,11875.4209,GWh,2024
